ID,Name,Route_ID_List,Station_ID,Initial_Platform_ID,Final_Platform_ID,ZC_Actuator_ID,Change_Of_Direction_Area_ID,SSP_ID_List,Turnaround_Ending,Direction_After_Turn_Back
1,ATB_1505_UP_DN_ITW,R_3C_ITW_161D_ITW;R_161A_ITW_4A_ITW,ST_ITW,PF_ITW_3B_LU,PF_ITW_4B_RD,ZCA_ZC1,COD_ITW_161D_D,SSP_ATB_ITW_4C_D_M5M6,false,Down
2,ATB_1531_UP_DN_ITW,R_3C_ITW_170D_ITW;R_170A_ITW_4A_ITW,ST_ITW,PF_ITW_3B_LU,PF_ITW_4B_RD,ZCA_ZC1,COD_ITW_170D_D,SSP_ATB_ITW_4C_D_M5M6,false,Down
3,ATB_1513_UP_DN_ITW,R_3C_ITW_181D_ITW;R_181A_ITW_4A_ITW,ST_ITW,PF_ITW_3B_LU,PF_ITW_4B_RD,ZCA_ZC1,COD_ITW_181D_D,SSP_ATB_ITW_4C_D_M5M6,false,Down
4,ATB_1509_UP_DN_ITW,R_3C_ITW_190D_ITW;R_190A_ITW_4A_ITW,ST_ITW,PF_ITW_3B_LU,PF_ITW_4B_RD,ZCA_ZC1,COD_ITW_190D_D,SSP_ATB_ITW_4C_D_M5M6,false,Down
1005,ATB_3207_DN_UP_ND,R_6_ND_100_ND;R_101_ND_7_ND,ST_ND,PF_ND_8_RD,PF_ND_7A_LU,ZCA_ZC2,COD_ND_101_U,SSP_ATB_ND_101_D_M5M6_4;SSP_ATB_ND_7_U_M5M6_4,false,Up
1006,ATB_3213_DN_UP_ND,R_6_ND_110_ND;R_111_ND_7_ND,ST_ND,PF_ND_8_RD,PF_ND_7A_LU,ZCA_ZC2,COD_ND_111_U,SSP_ATB_ND_111_D_M5M6_4;SSP_ATB_ND_7_U_M5M6_4,false,Up
1007,ATB_3211_DN_UP_ND,R_6_ND_120_ND;R_121_ND_7_ND,ST_ND,PF_ND_8_RD,PF_ND_7A_LU,ZCA_ZC2,COD_ND_121_U,SSP_ATB_ND_121_D_M5M6_4;SSP_ATB_ND_7_U_M5M6_4,false,Up
1008,ATB_3205_DN_UP_ND,R_6_ND_130_ND;R_130_ND_7_ND,ST_ND,PF_ND_8_RD,PF_ND_7A_LU,ZCA_ZC2,COD_ND_130_U,SSP_ATB_ND_130_D_M5M6_4;SSP_ATB_ND_7_U_M5M6_4,false,Up
2001,ATB_585_UP_DN_GPP,R_9_GPP_130D_GPP;R_130A_GPP_16_GPP,ST_GPP,PF_GPP_5E_LU,PF_GPP_6E_RD,ZCA_ZC4_1,COD_GPP_130A_D,SSP_ATB_GPP_16_D_M5M6,false,Down
2002,ATB_581_UP_DN_GPP,R_9_GPP_120D_GPP;R_120A_GPP_16_GPP,ST_GPP,PF_GPP_5E_LU,PF_GPP_6E_RD,ZCA_ZC4_1,COD_GPP_120A_D,SSP_ATB_GPP_16_D_M5M6,false,Down
2003,ATB_575_UP_DN_GPP,R_9_GPP_20D_GPP;R_20A_GPP_16_GPP,ST_GPP,PF_GPP_5E_LU,PF_GPP_6E_RD,ZCA_ZC4_1,COD_GPP_20A_D,SSP_ATB_GPP_16_D_M5M6,false,Down
2004,ATB_583_UP_DN_GPP,R_9_GPP_110D_GPP;R_110A_GPP_16_GPP,ST_GPP,PF_GPP_5E_LU,PF_GPP_6E_RD,ZCA_ZC4_1,COD_GPP_110A_D,SSP_ATB_GPP_16_D_M5M6,false,Down
2005,ATB_573_UP_DN_GPP,R_9_GPP_13D_GPP;R_13A_GPP_16_GPP,ST_GPP,PF_GPP_5E_LU,PF_GPP_6E_RD,ZCA_ZC4_1,COD_GPP_13A_D,SSP_ATB_GPP_16_D_M5M6,false,Down
2006,ATB_579_UP_DN_GPP,R_9_GPP_100D_GPP;R_100A_GPP_16_GPP,ST_GPP,PF_GPP_5E_LU,PF_GPP_6E_RD,ZCA_ZC4_1,COD_GPP_100A_D,SSP_ATB_GPP_16_D_M5M6,false,Down
2007,ATB_673_UP_DN_GN,R_9_GN_110E_GN;R_110A_GN_16_GN,ST_GN,PF_GN_1A_LU,PF_GN_2A_RD,ZCA_ZC4_2,COD_GN_110A_D,SSP_ATB_GN_16_D_M5M6,false,Down
2008,ATB_667_UP_DN_GN,R_9_GN_20E_GN;R_20A_GN_16_GN,ST_GN,PF_GN_1A_LU,PF_GN_2A_RD,ZCA_ZC4_2,COD_GN_20A_D,SSP_ATB_GN_16_D_M5M6,false,Down
2009,ATB_665_UP_DN_GN,R_9_GN_13E_GN;R_13A_GN_16_GN,ST_GN,PF_GN_1A_LU,PF_GN_2A_RD,ZCA_ZC4_2,COD_GN_13A_D,SSP_ATB_GN_16_D_M5M6,false,Down
2010,ATB_671_UP_DN_GN,R_9_GN_100E_GN;R_100A_GN_16_GN,ST_GN,PF_GN_1A_LU,PF_GN_2A_RD,ZCA_ZC4_2,COD_GN_100A_D,SSP_ATB_GN_16_D_M5M6,false,Down
