ID,Name,Reverse_Movement_Direction,Track_ID,RMZ_Type,C_Safety_Reverse_Mvt_Triggering,Reverse_Mvt_Max_Speed,Train_Formation_Characteristics_ID_List,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value
1,RMZ_STD_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1737743,0,1752069,0
2,RMZ_STD_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1739808,0,1754137,0
3,RMZ_VLN_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1633253,0,1647651,0
4,RMZ_VLN_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1635377,0,1649778,0
5,RMZ_JLS_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1546365,0,1560738,0
6,RMZ_JLS_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1548553,0,1562956,0
7,RMZ_PJW_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1465829,0,1480211,0
8,RMZ_PJW_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1467849,0,1482261,0
9,RMZ_LLL_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1386101,0,1399931,0
10,RMZ_LLL_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1388168,0,1401971,0
11,RMZ_HDS_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1330368,0,1344782,0
12,RMZ_HDS_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1332467,0,1346874,0
13,RMZ_HVW_3B,Both,TR_3B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1260607,0,1275286,0
14,RMZ_HVW_4B,Both,TR_4B_ASW_ITW,RMR_Per_Zones,0,0,TRFC_M5M6,1262767,0,1277426,0
1001,RMZ_ND_7A,Both,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,658730,0,673108,0
1002,RMZ_ND_8,Both,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,658730,0,673093,0
1003,RMZ_NDP_7A,Both,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,834206,0,847547,0
1004,RMZ_NDP_8,Both,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,834008,0,847443,0
1005,RMZ_CSN_7A,Both,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,998036,0,1013867,0
1006,RMZ_CSN_8,Both,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,998126,0,1013962,0
1007,RMZ_RKN_7A,Both,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1109883,0,1124121,0
1008,RMZ_RKN_8,Both,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1109379,4,1123686,4
1009,RMZ_VZG_7A,Up,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1223201,100,1237425,0
1010,RMZ_VZG_8,Up,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1222727,104,1236799,4
1011,RMZ_DPP_7A,Both,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1299844,0,1314149,0
1012,RMZ_DPP_8,Both,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1298601,4,1313876,4
1013,RMZ_EPP_7A,Both,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1437658,0,1452690,0
1014,RMZ_EPP_8,Both,TR_8_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1436323,4,1451356,4
1015,RMZ_ZD_7A,Down,TR_7A_ND_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,1583780,0,1597332,0
2001,RMZ_CS_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,11296,0,25286,0
2002,RMZ_CS_1A,Up,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,11169,0,24933,0
2003,RMZ_NMT_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,85295,0,102082,0
2004,RMZ_NMT_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,84670,0,101759,0
2005,RMZ_WLP_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,141740,0,158548,0
2006,RMZ_WLP_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,142062,0,158887,0
2007,RMZ_WPP_2A,Down,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,211541,0,226201,0
2008,RMZ_WPP_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,211598,0,226200,0
2009,RMZ_WBS_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,295099,0,311864,0
2010,RMZ_WBS_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,295105,0,311924,0
2011,RMZ_ASA_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,390791,0,405221,0
2012,RMZ_ASA_1A,Down,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,389302,0,406633,0
2015,RMZ_SLW_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,455668,0,472454,0
2016,RMZ_SLW_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,455846,0,472682,0
2017,RMZ_MDW_2A,Down,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,591356,0,607611,0
2018,RMZ_MDW_6C,Down,TR_6C_MDW_MDW,RMR_Per_Zones,0,0,TRFC_M5M6,592509,0,607668,0
2019,RMZ_MDW_5C,Down,TR_5C_MDW_MDW,RMR_Per_Zones,0,0,TRFC_M5M6,593427,0,608586,0
2020,RMZ_MDW_1A,Down,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,592282,0,608487,0
2021,RMZ_DVD_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,678389,0,695210,0
2022,RMZ_DVD_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,679531,0,696350,0
2023,RMZ_SVT_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,742259,0,759048,0
2024,RMZ_SVT_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,743305,0,760133,0
2025,RMZ_BMR_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,833169,0,849986,0
2026,RMZ_BMR_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,833950,0,851025,0
2027,RMZ_BLW_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,890916,0,907749,0
2028,RMZ_BLW_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,892042,0,908838,0
2029,RMZ_HLD_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,999846,0,1016674,0
2030,RMZ_HLD_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,1000939,0,1017766,0
2031,RMZ_RGB_2A,Both,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,1121465,0,1138297,0
2032,RMZ_RGB_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,1123061,0,1139892,0
2033,RMZ_GN_2A,Down,TR_2A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,1224675,0,1239202,0
2034,RMZ_GN_1A,Both,TR_1A_CS_GN,RMR_Per_Zones,0,0,TRFC_M5M6,1226145,0,1240646,0
2035,RMZ_VPD_5D,Both,TR_5D_MDW_DMZ,RMR_Per_Zones,0,0,TRFC_M5M6,167866,0,184679,0
2036,RMZ_VPD_6D,Both,TR_6D_MDW_DMZ,RMR_Per_Zones,0,0,TRFC_M5M6,166053,0,182892,0
2037,RMZ_DMZ_5D,Both,TR_5D_MDW_DMZ,RMR_Per_Zones,0,0,TRFC_M5M6,247316,0,264156,0
2038,RMZ_DMZ_6D,Both,TR_6D_MDW_DMZ,RMR_Per_Zones,0,0,TRFC_M5M6,245496,0,262321,0
2039,RMZ_VSW_5E,Both,TR_5E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,782821,0,799691,0
2040,RMZ_VSW_6E,Both,TR_6E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,783833,0,800688,0
2041,RMZ_GZH_5E,Both,TR_5E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,843640,0,860447,0
2042,RMZ_GZH_6E,Both,TR_6E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,844753,0,861564,0
2043,RMZ_KEN_5E,Both,TR_5E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,933945,0,951909,0
2044,RMZ_KEN_6E,Both,TR_6E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,935062,0,953035,0
2045,RMZ_GPP_5E,Both,TR_5E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,1005754,0,1019762,0
2047,RMZ_ZD_3A,Up,TR_3A_SLW_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,916662,0,929570,0
2049,RMZ_ZD_4A,Both,TR_4A_SLW_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,915830,0,929706,0
2050,RMZ_OAS_3A,Both,TR_3A_SLW_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,582994,0,597265,0
2051,RMZ_OAS_6A,Both,TR_6A_MDW_OAS,RMR_Per_Zones,0,0,TRFC_M5M6,651337,0,665620,0
2052,RMZ_OAS_4A,Both,TR_4A_SLW_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,583500,0,597880,0
2053,RMZ_RAI_3A,Both,TR_3A_SLW_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,810017,0,824329,0
2054,RMZ_RAI_4A,Both,TR_4A_SLW_ZD,RMR_Per_Zones,0,0,TRFC_M5M6,811071,0,824898,0
2055,RMZ_GPP_6E,Both,TR_6E_DMZ_GPP,RMR_Per_Zones,0,0,TRFC_M5M6,1006812,0,1020869,0
