ID,Track_ID,Begin_Adjacent_Track_ID,End_Adjacent_Track_ID
1,TR_3B_ASW_ITW,TR_3A_SLW_ZD,TR_3C_ITW_ITW
2,TR_4B_ASW_ITW,TR_4A_SLW_ZD,0
3,TR_3A_SLW_ZD,0,TR_3B_ASW_ITW
4,TR_3C_ITW_ITW,TR_3B_ASW_ITW,0
5,TR_4A_SLW_ZD,0,TR_4B_ASW_ITW
1001,TR_7A_ND_ZD,0,TR_7B_ZD_ZD
1002,TR_7B_ZD_ZD,TR_7A_ND_ZD,0
1003,TR_EOT_3213X_ND,0,TR_S_EOT_3213_ND
1004,TR_S_EOT_3213_ND,TR_EOT_3213X_ND,0
2001,TR_6D_MDW_DMZ,TR_6C_MDW_MDW,TR_6E_DMZ_GPP
2002,TR_5D_MDW_DMZ,TR_5C_MDW_MDW,TR_5E_DMZ_GPP
2003,TR_6C_MDW_MDW,TR_S_375_LCM,TR_6D_MDW_DMZ
2004,TR_5C_MDW_MDW,TR_S_347_LCM,TR_5D_MDW_DMZ
2005,TR_6E_DMZ_GPP,TR_6D_MDW_DMZ,0
2006,TR_5E_DMZ_GPP,TR_5D_MDW_DMZ,0
2007,TR_5A_MDW_OAS,TR_5B_MDW_MDW,0
2008,TR_6A_MDW_OAS,TR_6B_MDW_MDW,0
2009,TR_5B_MDW_MDW,TR_5A_MDW_OAS,0
2010,TR_6B_MDW_MDW,TR_6A_MDW_OAS,0
2011,TR_S_375_LCM,0,TR_6C_MDW_MDW
2012,TR_S_347_LCM,0,TR_5C_MDW_MDW
